SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:FC:3E,2020-07-17 03:53:12.793544,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-41
1,98:04:ED:C0:E4:41,2020-07-17 03:53:12.793544,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-84
2,98:04:ED:C0:E4:41,2020-07-17 03:53:13.107854,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
3,DC:A6:32:55:FC:3E,2020-07-17 03:53:13.107854,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-39
4,98:04:ED:C0:E4:41,2020-07-17 03:53:14.095103,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-84
5,DC:A6:32:55:FC:3E,2020-07-17 03:53:14.095103,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-40
6,DC:A6:32:55:FC:3E,2020-07-17 03:53:15.023889,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-42
7,98:04:ED:C0:E4:41,2020-07-17 03:53:15.023889,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-84
8,98:04:ED:C0:E4:41,2020-07-17 03:53:16.215071,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-85
9,DC:A6:32:55:FC:3E,2020-07-17 03:53:16.215071,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-37
10,98:04:ED:C0:E4:41,2020-07-17 03:53:17.043997,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-85
11,DC:A6:32:55:FC:3E,2020-07-17 03:53:17.043997,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-38
12,98:04:ED:C0:E4:41,2020-07-17 03:53:18.232720,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
13,DC:A6:32:55:FC:3E,2020-07-17 03:53:18.232720,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-39
14,98:04:ED:C0:E4:41,2020-07-17 03:53:19.036396,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-85
15,DC:A6:32:55:FC:3E,2020-07-17 03:53:19.036396,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-39
16,DC:A6:32:55:FC:3E,2020-07-17 03:53:20.082648,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-36
17,98:04:ED:C0:E4:41,2020-07-17 03:53:20.082648,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
18,98:04:ED:C0:E4:41,2020-07-17 03:53:21.068962,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
19,DC:A6:32:55:FC:3E,2020-07-17 03:53:21.068962,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-42
20,98:04:ED:C0:E4:41,2020-07-17 03:53:22.164601,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-83
21,DC:A6:32:55:FC:3E,2020-07-17 03:53:22.164601,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-37
22,98:04:ED:C0:E4:41,2020-07-17 03:53:23.159053,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-85
23,DC:A6:32:55:FC:3E,2020-07-17 03:53:23.159053,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-42
24,98:04:ED:C0:E4:41,2020-07-17 03:53:24.091621,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-85
25,DC:A6:32:55:FC:3E,2020-07-17 03:53:24.091621,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-37
26,DC:A6:32:55:FC:3E,2020-07-17 03:53:25.013517,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-42
27,98:04:ED:C0:E4:41,2020-07-17 03:53:25.013517,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
28,98:04:ED:C0:E4:41,2020-07-17 03:53:26.265319,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-84
29,DC:A6:32:55:FC:3E,2020-07-17 03:53:26.265319,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-38
30,98:04:ED:C0:E4:41,2020-07-17 03:53:27.007903,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-84
31,DC:A6:32:55:FC:3E,2020-07-17 03:53:27.007903,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-35
32,98:04:ED:C0:E4:41,2020-07-17 03:53:28.016639,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-85
33,DC:A6:32:55:FC:3E,2020-07-17 03:53:28.016639,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-39
34,98:04:ED:C0:E4:41,2020-07-17 03:53:29.032858,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-89
35,DC:A6:32:55:FC:3E,2020-07-17 03:53:29.032858,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-42
36,98:04:ED:C0:E4:41,2020-07-17 03:53:30.032971,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
37,DC:A6:32:55:FC:3E,2020-07-17 03:53:30.032971,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-42
38,98:04:ED:C0:E4:41,2020-07-17 03:53:31.552947,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-84
39,DC:A6:32:55:FC:3E,2020-07-17 03:53:31.552947,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-42
40,98:04:ED:C0:E4:41,2020-07-17 03:53:32.071656,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
41,DC:A6:32:55:FC:3E,2020-07-17 03:53:32.071656,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-35
42,98:04:ED:C0:E4:41,2020-07-17 03:53:33.014855,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-85
43,DC:A6:32:55:FC:3E,2020-07-17 03:53:33.014855,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-35
44,98:04:ED:C0:E4:41,2020-07-17 03:53:34.348005,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-83
45,DC:A6:32:55:FC:3E,2020-07-17 03:53:34.348005,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-36
46,98:04:ED:C0:E4:41,2020-07-17 03:53:35.205548,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-84
47,DC:A6:32:55:FC:3E,2020-07-17 03:53:35.205548,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-39
48,98:04:ED:C0:E4:41,2020-07-17 03:53:36.076893,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
49,DC:A6:32:55:FC:3E,2020-07-17 03:53:36.076893,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-42
50,98:04:ED:C0:E4:41,2020-07-17 03:53:37.036784,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-86
51,DC:A6:32:55:FC:3E,2020-07-17 03:53:37.036784,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-38
52,98:04:ED:C0:E4:41,2020-07-17 03:53:38.119289,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
53,DC:A6:32:55:FC:3E,2020-07-17 03:53:38.119289,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-39
54,98:04:ED:C0:E4:41,2020-07-17 03:53:39.048703,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-83
55,DC:A6:32:55:FC:3E,2020-07-17 03:53:39.048703,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-39
56,98:04:ED:C0:E4:41,2020-07-17 03:53:40.485725,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-83
57,DC:A6:32:55:FC:3E,2020-07-17 03:53:40.485725,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-39
58,98:04:ED:C0:E4:41,2020-07-17 03:53:41.021885,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
59,DC:A6:32:55:FC:3E,2020-07-17 03:53:41.021885,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-40
60,98:04:ED:C0:E4:41,2020-07-17 03:53:42.154535,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
61,DC:A6:32:55:FC:3E,2020-07-17 03:53:42.154535,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-42
62,98:04:ED:C0:E4:41,2020-07-17 03:53:43.214506,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-84
63,DC:A6:32:55:FC:3E,2020-07-17 03:53:43.214506,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-42
64,DC:A6:32:55:FC:3E,2020-07-17 03:53:44.025703,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-39
65,98:04:ED:C0:E4:41,2020-07-17 03:53:44.025703,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
66,98:04:ED:C0:E4:41,2020-07-17 03:53:45.133310,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-84
67,DC:A6:32:55:FC:3E,2020-07-17 03:53:45.133310,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-39
68,DC:A6:32:55:FC:3E,2020-07-17 03:53:46.083329,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-42
69,98:04:ED:C0:E4:41,2020-07-17 03:53:46.083329,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-85
70,98:04:ED:C0:E4:41,2020-07-17 03:53:47.008284,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
71,DC:A6:32:55:FC:3E,2020-07-17 03:53:47.008284,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-39
72,98:04:ED:C0:E4:41,2020-07-17 03:53:48.029639,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-85
73,DC:A6:32:55:FC:3E,2020-07-17 03:53:48.029639,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-40
74,98:04:ED:C0:E4:41,2020-07-17 03:53:49.007056,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
75,DC:A6:32:55:FC:3E,2020-07-17 03:53:49.007056,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-35
76,98:04:ED:C0:E4:41,2020-07-17 03:53:50.297142,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
77,DC:A6:32:55:FC:3E,2020-07-17 03:53:50.297142,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-42
78,98:04:ED:C0:E4:41,2020-07-17 03:53:51.082138,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-83
79,DC:A6:32:55:FC:3E,2020-07-17 03:53:51.082138,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-39
80,98:04:ED:C0:E4:41,2020-07-17 03:53:52.192133,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-85
81,DC:A6:32:55:FC:3E,2020-07-17 03:53:52.192133,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-35
82,98:04:ED:C0:E4:41,2020-07-17 03:53:53.377186,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
83,DC:A6:32:55:FC:3E,2020-07-17 03:53:53.377186,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-37
84,98:04:ED:C0:E4:41,2020-07-17 03:53:54.125954,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-84
85,DC:A6:32:55:FC:3E,2020-07-17 03:53:54.125954,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-42
86,DC:A6:32:55:FC:3E,2020-07-17 03:53:55.183457,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-42
87,98:04:ED:C0:E4:41,2020-07-17 03:53:55.183457,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
88,98:04:ED:C0:E4:41,2020-07-17 03:53:56.183639,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-84
89,DC:A6:32:55:FC:3E,2020-07-17 03:53:56.183639,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-37
90,98:04:ED:C0:E4:41,2020-07-17 03:53:57.027274,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-84
91,DC:A6:32:55:FC:3E,2020-07-17 03:53:57.027274,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-42
92,98:04:ED:C0:E4:41,2020-07-17 03:53:58.052269,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-85
93,DC:A6:32:55:FC:3E,2020-07-17 03:53:58.052269,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-42
94,98:04:ED:C0:E4:41,2020-07-17 03:53:59.046018,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-86
95,DC:A6:32:55:FC:3E,2020-07-17 03:53:59.046018,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-39
96,98:04:ED:C0:E4:41,2020-07-17 03:54:00.329890,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-85
97,DC:A6:32:55:FC:3E,2020-07-17 03:54:00.329890,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-43
98,98:04:ED:C0:E4:41,2020-07-17 03:54:01.096068,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-84
99,DC:A6:32:55:FC:3E,2020-07-17 03:54:01.096068,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-39
100,98:04:ED:C0:E4:41,2020-07-17 03:54:02.116123,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
101,DC:A6:32:55:FC:3E,2020-07-17 03:54:02.116123,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-35
102,DC:A6:32:55:FC:3E,2020-07-17 03:54:03.073667,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-39
103,98:04:ED:C0:E4:41,2020-07-17 03:54:03.073667,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-85
104,98:04:ED:C0:E4:41,2020-07-17 03:54:04.013659,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
105,DC:A6:32:55:FC:3E,2020-07-17 03:54:04.013659,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-42
106,DC:A6:32:55:FC:3E,2020-07-17 03:54:05.482481,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-42
107,98:04:ED:C0:E4:41,2020-07-17 03:54:05.482481,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-85
108,98:04:ED:C0:E4:41,2020-07-17 03:54:06.001857,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-86
109,DC:A6:32:55:FC:3E,2020-07-17 03:54:06.001857,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-39
110,98:04:ED:C0:E4:41,2020-07-17 03:54:07.064951,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
111,DC:A6:32:55:FC:3E,2020-07-17 03:54:07.064951,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-40
112,98:04:ED:C0:E4:41,2020-07-17 03:54:08.043742,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-85
113,DC:A6:32:55:FC:3E,2020-07-17 03:54:08.043742,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-42
114,98:04:ED:C0:E4:41,2020-07-17 03:54:09.042519,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-85
115,DC:A6:32:55:FC:3E,2020-07-17 03:54:09.042519,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-39
116,98:04:ED:C0:E4:41,2020-07-17 03:54:10.012551,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
117,DC:A6:32:55:FC:3E,2020-07-17 03:54:10.012551,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-35
118,98:04:ED:C0:E4:41,2020-07-17 03:54:11.032641,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-83
119,DC:A6:32:55:FC:3E,2020-07-17 03:54:11.032641,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-37
120,DC:A6:32:55:FC:3E,2020-07-17 03:54:12.049556,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-41
121,98:04:ED:C0:E4:41,2020-07-17 03:54:12.049556,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-84
122,98:04:ED:C0:E4:41,2020-07-17 03:54:13.008866,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
123,DC:A6:32:55:FC:3E,2020-07-17 03:54:13.008866,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-42
124,98:04:ED:C0:E4:41,2020-07-17 03:54:14.018861,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-84
125,DC:A6:32:55:FC:3E,2020-07-17 03:54:14.018861,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-42
126,98:04:ED:C0:E4:41,2020-07-17 03:54:15.020241,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-84
127,DC:A6:32:55:FC:3E,2020-07-17 03:54:15.020241,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-42
128,98:04:ED:C0:E4:41,2020-07-17 03:54:16.065793,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
129,DC:A6:32:55:FC:3E,2020-07-17 03:54:16.065793,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-37
130,DC:A6:32:55:FC:3E,2020-07-17 03:54:17.012670,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-41
131,98:04:ED:C0:E4:41,2020-07-17 03:54:17.012670,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
132,98:04:ED:C0:E4:41,2020-07-17 03:54:18.316551,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-84
133,DC:A6:32:55:FC:3E,2020-07-17 03:54:18.316551,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-39
134,98:04:ED:C0:E4:41,2020-07-17 03:54:19.062727,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-83
135,DC:A6:32:55:FC:3E,2020-07-17 03:54:19.062727,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-42
136,98:04:ED:C0:E4:41,2020-07-17 03:54:20.088417,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-83
137,DC:A6:32:55:FC:3E,2020-07-17 03:54:20.088417,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-42
138,98:04:ED:C0:E4:41,2020-07-17 03:54:21.042874,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
139,DC:A6:32:55:FC:3E,2020-07-17 03:54:21.042874,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-39
140,98:04:ED:C0:E4:41,2020-07-17 03:54:22.107835,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-85
141,DC:A6:32:55:FC:3E,2020-07-17 03:54:22.107835,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-39
142,DC:A6:32:55:FC:3E,2020-07-17 03:54:23.064115,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-42
143,98:04:ED:C0:E4:41,2020-07-17 03:54:23.064115,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
144,98:04:ED:C0:E4:41,2020-07-17 03:54:24.335489,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-84
145,DC:A6:32:55:FC:3E,2020-07-17 03:54:24.335489,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-41
146,98:04:ED:C0:E4:41,2020-07-17 03:54:25.041639,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
147,DC:A6:32:55:FC:3E,2020-07-17 03:54:25.041639,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-42
148,DC:A6:32:55:FC:3E,2020-07-17 03:54:26.235386,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-37
149,98:04:ED:C0:E4:41,2020-07-17 03:54:26.235386,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-84
150,98:04:ED:C0:E4:41,2020-07-17 03:54:27.157955,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
151,DC:A6:32:55:FC:3E,2020-07-17 03:54:27.157955,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-42
152,98:04:ED:C0:E4:41,2020-07-17 03:54:28.009173,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-84
153,DC:A6:32:55:FC:3E,2020-07-17 03:54:28.009173,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-42
154,98:04:ED:C0:E4:41,2020-07-17 03:54:29.030437,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-84
155,DC:A6:32:55:FC:3E,2020-07-17 03:54:29.030437,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-40
156,98:04:ED:C0:E4:41,2020-07-17 03:54:30.036824,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-82
157,DC:A6:32:55:FC:3E,2020-07-17 03:54:30.036824,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-39
158,98:04:ED:C0:E4:41,2020-07-17 03:54:31.110527,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-84
159,DC:A6:32:55:FC:3E,2020-07-17 03:54:31.110527,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-35
160,98:04:ED:C0:E4:41,2020-07-17 03:54:32.020527,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-84
161,DC:A6:32:55:FC:3E,2020-07-17 03:54:32.020527,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-35
162,98:04:ED:C0:E4:41,2020-07-17 03:54:33.158160,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-84
163,DC:A6:32:55:FC:3E,2020-07-17 03:54:33.158160,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-37
164,98:04:ED:C0:E4:41,2020-07-17 03:54:34.019949,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
165,DC:A6:32:55:FC:3E,2020-07-17 03:54:34.019949,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-42
166,98:04:ED:C0:E4:41,2020-07-17 03:54:35.023088,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-84
167,DC:A6:32:55:FC:3E,2020-07-17 03:54:35.023088,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-35
168,DC:A6:32:55:FC:3E,2020-07-17 03:54:36.234465,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-42
169,98:04:ED:C0:E4:41,2020-07-17 03:54:36.234465,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-84
170,98:04:ED:C0:E4:41,2020-07-17 03:54:37.035657,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-84
171,DC:A6:32:55:FC:3E,2020-07-17 03:54:37.035657,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-36
172,98:04:ED:C0:E4:41,2020-07-17 03:54:38.016882,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-83
173,DC:A6:32:55:FC:3E,2020-07-17 03:54:38.016882,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-39
174,98:04:ED:C0:E4:41,2020-07-17 03:54:39.176403,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-83
175,DC:A6:32:55:FC:3E,2020-07-17 03:54:39.176403,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-39
176,98:04:ED:C0:E4:41,2020-07-17 03:54:40.021977,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-84
177,DC:A6:32:55:FC:3E,2020-07-17 03:54:40.021977,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-39
178,DC:A6:32:55:FC:3E,2020-07-17 03:54:41.101968,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-39
179,98:04:ED:C0:E4:41,2020-07-17 03:54:41.101968,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-83
180,98:04:ED:C0:E4:41,2020-07-17 03:54:42.133361,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-84
181,DC:A6:32:55:FC:3E,2020-07-17 03:54:42.133361,aede318c-caf8-11ea-887c-dca63255fc3b,1,1,1,-40
